City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
93,Esperance,AU,2021-06-03 18:36:29,-33.8667,121.9,53.44,86,1,9.37
94,Yumen,CN,2021-06-03 18:36:30,40.2833,97.2,63.55,8,0,1.83
95,Moose Factory,CA,2021-06-03 18:36:30,51.2585,-80.6094,60.8,88,75,12.66
96,Khatanga,RU,2021-06-03 18:35:54,71.9667,102.5,31.8,89,100,8.1
97,La Orilla,MX,2021-06-03 18:36:31,17.9833,-102.2333,87.82,56,91,11.27
98,Aklavik,CA,2021-06-03 18:36:31,68.2191,-135.0107,47.23,81,90,4.61
99,Pedernales,DO,2021-06-03 18:36:32,18.0384,-71.744,88.03,55,100,3.29
100,Cabedelo,BR,2021-06-03 18:36:32,-6.9811,-34.8339,84.87,72,18,13.42
101,Sawtell,AU,2021-06-03 18:32:56,-30.3833,153.1,53.62,91,1,6.91
102,Nikolskoye,RU,2021-06-03 18:34:09,59.7035,30.7861,69.69,75,44,5.1
103,Butaritari,KI,2021-06-03 18:36:33,3.0707,172.7902,82.63,75,100,13.94
104,Candelaria,PH,2021-06-03 18:36:33,13.9311,121.4233,76.78,92,100,2.91
105,Clyde River,CA,2021-06-03 18:32:55,70.4692,-68.5914,28.63,93,90,13.8
106,Hobart,AU,2021-06-03 18:35:14,-42.8794,147.3294,51.93,64,90,3.0
107,Sao Miguel Do Araguaia,BR,2021-06-03 18:36:34,-13.275,-50.1628,93.38,23,1,6.29
108,Mahebourg,MU,2021-06-03 18:33:18,-20.4081,57.7,75.49,73,40,11.5
109,Paraiba Do Sul,BR,2021-06-03 18:36:35,-22.1619,-43.2928,83.07,66,0,1.3
110,Atuona,PF,2021-06-03 18:36:35,-9.8,-139.0333,79.05,82,42,18.79
111,Sur,OM,2021-06-03 18:36:36,22.5667,59.5289,93.79,43,0,10.13
112,Novita,CO,2021-06-03 18:36:36,4.9551,-76.6053,84.99,76,78,4.0
113,Thompson,CA,2021-06-03 18:36:36,55.7435,-97.8558,53.76,50,75,4.61
114,Chicama,PE,2021-06-03 18:36:37,-7.8447,-79.1469,66.74,61,29,9.91
115,Bengkulu,ID,2021-06-03 18:36:37,-3.8004,102.2655,78.57,87,100,2.84
116,Komsomolskiy,UZ,2021-06-03 18:36:38,40.4272,71.7189,83.12,28,81,4.61
117,Maniitsoq,GL,2021-06-03 18:36:38,65.4167,-52.9,35.51,77,100,13.0
118,Leningradskiy,RU,2021-06-03 18:33:06,69.3833,178.4167,28.99,83,62,6.4
119,Dingle,PH,2021-06-03 18:36:38,10.9995,122.6711,76.55,88,100,2.82
120,Barcelos,PT,2021-06-03 18:36:39,41.5388,-8.6151,67.28,63,0,13.42
121,Bardiyah,LY,2021-06-03 18:36:39,31.7561,25.0865,70.25,63,0,6.53
122,Yakeshi,CN,2021-06-03 18:35:27,49.2833,120.7333,48.49,84,100,9.93
123,Los Llanos De Aridane,ES,2021-06-03 18:36:40,28.6585,-17.9182,64.15,93,75,13.69
124,Namatanai,PG,2021-06-03 18:36:40,-3.6667,152.4333,79.38,83,100,4.63
125,Padang,ID,2021-06-03 18:36:40,-0.9492,100.3543,78.85,90,62,2.98
126,Baillif,GP,2021-06-03 18:36:41,16.0202,-61.7463,87.3,69,41,16.28
127,Sept-Iles,CA,2021-06-03 18:36:23,50.2001,-66.3821,60.26,69,90,5.01
128,Kungurtug,RU,2021-06-03 18:36:42,50.5994,97.5228,51.33,63,23,2.13
129,Kosh-Agach,RU,2021-06-03 18:36:42,50.0,88.6667,56.86,61,99,3.69
130,Sakmara,RU,2021-06-03 18:36:42,51.9844,55.3338,66.22,85,100,14.92
131,Beberibe,BR,2021-06-03 18:36:43,-4.1797,-38.1306,86.04,66,6,8.05
132,Hastings,GB,2021-06-03 18:36:34,50.8552,0.5729,67.93,70,100,9.28
133,Mar Del Plata,AR,2021-06-03 18:36:33,-38.0023,-57.5575,54.12,58,0,10.36
134,Vardo,NO,2021-06-03 18:36:44,70.3705,31.1107,62.58,45,0,6.91
135,Lahij,YE,2021-06-03 18:36:44,13.1667,44.5833,86.68,49,97,4.61
136,Ponta Do Sol,PT,2021-06-03 18:36:45,32.6667,-17.1,66.83,49,65,5.03
137,Cidreira,BR,2021-06-03 18:34:10,-30.1811,-50.2056,65.05,65,8,5.73
138,Codrington,AU,2021-06-03 18:36:45,-38.2667,141.9667,51.33,67,9,15.75
139,Byron Bay,AU,2021-06-03 18:36:30,-28.65,153.6167,58.89,81,0,9.89
140,Naliya,IN,2021-06-03 18:36:46,23.2667,68.8333,84.63,74,38,15.3
141,Sakaiminato,JP,2021-06-03 18:36:46,35.55,133.2333,69.78,94,75,8.05
142,Linxia,CN,2021-06-03 18:36:46,35.6003,103.2064,51.19,48,32,2.46
143,Ahuimanu,US,2021-06-03 18:36:47,21.4447,-157.8378,80.78,64,40,11.27
144,Cap Malheureux,MU,2021-06-03 18:35:21,-19.9842,57.6142,75.69,77,19,7.0
145,Cayenne,GF,2021-06-03 18:36:47,4.9333,-52.3333,82.09,81,75,4.0
146,Husavik,IS,2021-06-03 18:34:56,66.0449,-17.3389,49.91,62,100,1.57
147,Nome,US,2021-06-03 18:36:48,64.5011,-165.4064,37.17,69,20,19.57
148,Port Blair,IN,2021-06-03 18:36:48,11.6667,92.75,83.26,77,97,5.28
149,Tiksi,RU,2021-06-03 18:36:49,71.6872,128.8694,32.74,92,100,5.7
150,Maltahohe,NA,2021-06-03 18:36:49,-24.8333,16.9833,52.32,41,0,11.77
151,Hofn,IS,2021-06-03 18:32:52,64.2539,-15.2082,48.36,83,100,5.5
152,Weyburn,CA,2021-06-03 18:36:50,49.6668,-103.8511,92.17,18,5,9.22
153,Marzuq,YE,2021-06-03 18:36:50,14.4,46.4667,78.42,58,43,6.2
154,Saint-Philippe,RE,2021-06-03 18:33:08,-21.3585,55.7679,72.95,73,39,14.23
155,Vila Velha,BR,2021-06-03 18:36:51,-20.3297,-40.2925,84.96,74,0,5.99
156,Bodaybo,RU,2021-06-03 18:36:51,57.8506,114.1933,55.89,86,8,2.01
157,Qaanaaq,GL,2021-06-03 18:36:52,77.484,-69.3632,29.79,77,23,2.84
158,Ixtapa,MX,2021-06-03 18:35:32,20.7,-105.2,83.43,74,90,2.3
159,Celestun,MX,2021-06-03 18:36:52,20.8667,-90.4,87.06,60,43,11.95
160,Bethel,US,2021-06-03 18:36:52,41.3712,-73.414,70.02,89,90,5.75
161,Khabary,RU,2021-06-03 18:36:53,53.6259,79.5345,58.01,65,85,7.65
162,Anadyr,RU,2021-06-03 18:36:53,64.75,177.4833,37.9,60,0,8.59
163,Upernavik,GL,2021-06-03 18:35:35,72.7868,-56.1549,35.73,73,10,4.45
164,Slidell,US,2021-06-03 18:36:54,30.2752,-89.7812,89.06,68,75,1.01
165,Seydisehir,TR,2021-06-03 18:36:54,37.4193,31.8453,55.17,55,5,2.84
166,Arman,RU,2021-06-03 18:32:12,59.7,150.1667,38.43,96,100,0.83
167,Bairiki,KI,2021-06-03 18:36:55,1.3292,172.9752,80.6,83,40,13.44
168,Igrim,RU,2021-06-03 18:32:16,63.1906,64.4162,38.17,59,3,6.06
169,Balykshi,KZ,2021-06-03 18:36:55,47.0667,51.8667,71.6,60,0,13.42
170,Rincon,US,2021-06-03 18:36:56,32.296,-81.2354,84.65,82,100,3.0
171,Cape Town,ZA,2021-06-03 18:34:45,-33.9258,18.4232,59.11,83,0,3.04
172,Haines Junction,CA,2021-06-03 18:36:57,60.7522,-137.5108,49.96,54,100,12.15
173,Castro Alves,BR,2021-06-03 18:36:57,-12.7656,-39.4283,83.52,39,7,12.15
174,Fortuna,US,2021-06-03 18:33:34,40.5982,-124.1573,63.93,82,90,3.0
175,Mayo,US,2021-06-03 18:36:57,38.8876,-76.5119,85.42,78,100,4.0
176,New Norfolk,AU,2021-06-03 18:36:58,-42.7826,147.0587,51.58,68,98,1.99
177,Carambei,BR,2021-06-03 18:36:58,-24.9178,-50.0972,68.7,71,5,3.0
178,Stephenville,US,2021-06-03 18:36:59,32.2207,-98.2023,76.95,73,40,0.0
179,Constitucion,CL,2021-06-03 18:36:59,-35.3333,-72.4167,62.71,79,100,10.96
180,Norman Wells,CA,2021-06-03 18:36:59,65.282,-126.8329,53.64,76,90,8.05
181,Brokopondo,SR,2021-06-03 18:37:00,4.75,-55.1667,86.81,59,55,1.19
182,Ballina,AU,2021-06-03 18:33:09,-28.8667,153.5667,58.96,77,0,8.05
183,Taltal,CL,2021-06-03 18:37:00,-25.4,-70.4833,63.12,81,49,5.86
184,Aketi,CD,2021-06-03 18:37:01,2.7388,23.7833,71.02,97,83,1.16
185,Abu Samrah,SY,2021-06-03 18:33:02,35.3029,37.1841,68.67,49,0,9.84
186,Chebsara,RU,2021-06-03 18:37:01,59.2002,38.8356,51.13,75,53,6.13
187,La Grande,US,2021-06-03 18:37:02,45.3246,-118.0877,85.01,37,0,4.76
188,Barrow,US,2021-06-03 18:35:04,71.2906,-156.7887,30.22,80,90,17.27
189,Kokoda,PG,2021-06-03 18:37:02,-8.8785,147.7407,74.41,96,100,0.56
190,Xucheng,CN,2021-06-03 18:37:03,20.35,110.1288,77.7,85,100,4.38
191,Pervomaysk,UA,2021-06-03 18:37:03,48.0443,30.8507,56.91,80,99,12.53
192,Belle Fourche,US,2021-06-03 18:37:04,44.6714,-103.8522,87.35,21,6,1.66
193,Vila Franca Do Campo,PT,2021-06-03 18:37:04,37.7167,-25.4333,64.81,68,94,3.47
194,Suntar,RU,2021-06-03 18:37:04,62.1444,117.6319,57.99,47,54,4.52
195,Manggar,ID,2021-06-03 18:37:05,-2.8833,108.2667,82.38,74,51,11.25
196,Bandarban,BD,2021-06-03 18:37:05,22.1965,92.2262,78.49,93,99,2.53
197,Guider,CM,2021-06-03 18:37:05,9.9342,13.9486,86.5,46,40,8.08
198,Cervo,ES,2021-06-03 18:37:06,43.6702,-7.4101,60.19,66,5,3.85
199,Almeirim,BR,2021-06-03 18:32:13,-1.5233,-52.5817,86.05,66,7,2.3
200,Tilichiki,RU,2021-06-03 18:37:06,60.4667,166.1,42.24,65,95,6.02
201,Taonan,CN,2021-06-03 18:37:07,45.3333,122.7833,53.44,70,100,7.81
202,Poum,NC,2021-06-03 18:37:07,-20.2333,164.0167,73.45,70,67,10.33
203,Hokitika,NZ,2021-06-03 18:37:08,-42.7167,170.9667,49.78,83,100,4.85
204,Mayahi,NE,2021-06-03 18:37:08,13.9553,7.6712,97.16,15,7,9.71
205,Lorengau,PG,2021-06-03 18:35:25,-2.0226,147.2712,79.47,79,100,3.42
206,Rapid Valley,US,2021-06-03 18:37:09,44.0625,-103.1463,87.76,28,1,1.01
207,Petawawa,CA,2021-06-03 18:37:09,45.9001,-77.3328,66.78,71,90,3.0
208,Faya,SA,2021-06-03 18:37:09,18.3851,42.4509,79.32,15,7,11.9
209,Vaitape,PF,2021-06-03 18:32:47,-16.5167,-151.75,79.92,76,6,3.78
210,Provideniya,RU,2021-06-03 18:37:10,64.3833,-173.3,33.69,55,39,3.06
211,Skibotn,NO,2021-06-03 18:37:10,69.3913,20.2679,66.2,50,6,3.98
212,Mackay,AU,2021-06-03 18:37:11,-21.15,149.2,66.69,94,37,8.05
213,Khorinsk,RU,2021-06-03 18:37:11,52.1657,109.7726,49.55,77,8,0.94
214,Sulz,DE,2021-06-03 18:37:11,48.3624,8.6331,72.84,78,85,0.65
215,Kaitangata,NZ,2021-06-03 18:37:12,-46.2817,169.8464,46.92,83,100,4.99
216,Ishigaki,JP,2021-06-03 18:37:12,24.3448,124.1572,83.01,88,8,20.67
217,Raudeberg,NO,2021-06-03 18:37:12,61.9875,5.1352,73.0,66,17,12.91
218,Lata,PT,2021-06-03 18:37:13,40.1629,-8.3327,60.93,67,0,9.26
219,Batemans Bay,AU,2021-06-03 18:37:13,-35.7167,150.1833,56.19,92,75,5.01
220,Beloha,MG,2021-06-03 18:37:13,-25.1667,45.05,68.85,90,100,6.73
221,Bilibino,RU,2021-06-03 18:33:30,68.0546,166.4372,51.57,38,1,0.96
222,Tuatapere,NZ,2021-06-03 18:37:14,-46.1333,167.6833,49.82,89,100,6.93
223,Kalmunai,LK,2021-06-03 18:37:14,7.4167,81.8167,81.9,76,100,1.9
224,Mehamn,NO,2021-06-03 18:37:15,71.0357,27.8492,62.51,70,1,17.54
225,Nanga Eboko,CM,2021-06-03 18:37:15,4.6833,12.3667,72.34,89,39,3.47
226,Taoudenni,ML,2021-06-03 18:37:02,22.6783,-3.9836,108.37,7,91,6.31
227,Saskylakh,RU,2021-06-03 18:37:16,71.9167,114.0833,33.19,98,100,9.01
228,Port Shepstone,ZA,2021-06-03 18:37:16,-30.7414,30.455,60.01,73,100,21.12
229,Ko Samui,TH,2021-06-03 18:37:16,9.5357,99.9357,85.73,72,33,7.4
230,Banda Aceh,ID,2021-06-03 18:37:17,5.5577,95.3222,80.02,84,100,6.8
231,Ribeira Grande,PT,2021-06-03 18:37:17,38.5167,-28.7,66.6,59,20,10.36
232,Razole,IN,2021-06-03 18:37:17,16.4833,81.8333,83.71,79,15,5.03
233,Ilulissat,GL,2021-06-03 18:36:17,69.2167,-51.1,39.22,81,20,6.91
234,Fairbanks,US,2021-06-03 18:34:00,64.8378,-147.7164,64.49,51,90,5.75
235,Beringovskiy,RU,2021-06-03 18:37:18,63.05,179.3167,34.21,83,99,3.8
236,Baghdad,IQ,2021-06-03 18:35:42,33.3406,44.4009,91.31,18,0,12.59
237,Dudinka,RU,2021-06-03 18:37:19,69.4058,86.1778,32.59,99,100,8.05
238,Christchurch,NZ,2021-06-03 18:33:30,-43.5333,172.6333,39.4,91,90,4.61
239,Socorro,US,2021-06-03 18:37:19,31.6546,-106.3033,86.5,28,75,3.65
240,Victoria,HK,2021-06-03 18:33:16,22.2855,114.1577,86.38,86,100,4.0
241,Chivay,PE,2021-06-03 18:37:20,-15.6383,-71.6011,60.8,25,17,4.45
242,Prieska,ZA,2021-06-03 18:37:20,-29.6641,22.7474,50.43,38,0,12.1
243,Okhotsk,RU,2021-06-03 18:37:21,59.3833,143.3,37.38,93,18,3.0
244,Shorkot,PK,2021-06-03 18:37:21,31.9099,70.8774,91.67,37,0,10.49
245,Qaqortoq,GL,2021-06-03 18:35:00,60.7167,-46.0333,52.3,80,100,7.96
246,Custodia,BR,2021-06-03 18:37:22,-8.0875,-37.6431,84.15,44,51,16.82
247,Vyazma,RU,2021-06-03 18:37:22,55.2104,34.2951,54.82,76,100,8.08
248,Am Timan,TD,2021-06-03 18:37:22,11.0297,20.2827,90.9,34,100,10.45
249,Ryotsu,JP,2021-06-03 18:37:23,38.0833,138.4333,64.24,80,100,5.79
250,Chiredzi,ZW,2021-06-03 18:37:23,-21.05,31.6667,59.14,49,0,8.86
251,Dukat,RU,2021-06-03 18:37:24,62.55,155.55,41.27,69,46,3.74
252,Petropavlovsk-Kamchatskiy,RU,2021-06-03 18:37:24,53.0452,158.6483,45.19,71,14,11.88
253,Bila Tserkva,UA,2021-06-03 18:37:24,49.8094,30.1121,51.66,84,64,8.43
254,Saint Anthony,US,2021-06-03 18:37:25,45.0205,-93.218,88.12,30,1,3.44
255,Praia Da Vitoria,PT,2021-06-03 18:37:25,38.7333,-27.0667,67.75,68,40,4.61
256,Winnemucca,US,2021-06-03 18:37:25,40.973,-117.7357,91.45,15,1,3.02
257,Ciudad Bolivar,VE,2021-06-03 18:37:26,8.1222,-63.5497,87.42,53,100,8.12
258,Luganville,VU,2021-06-03 18:37:26,-15.5333,167.1667,75.38,85,100,7.16
