City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
438,Porto Novo,BJ,76.24,light rain,6.4965,2.6036,Tour Eiffel Hotel Benin
440,Ternate,ID,80.26,overcast clouds,0.8,127.4,Grand Dafam Bela Ternate
441,Anton Lizardo,MX,75.22,overcast clouds,19.05,-95.9833,Hotel CocoAventura
442,Eufaula,US,77.43,few clouds,31.8913,-85.1455,Days Inn by Wyndham Eufaula AL
444,Alofi,NU,76.37,broken clouds,-19.0595,-169.9187,Taloa Heights
449,Saint-Joseph,RE,75.47,overcast clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
450,Liuzhou,CN,89.2,broken clouds,24.3126,109.3892,Linjiang Inn
451,Koungou,YT,82.11,few clouds,-12.7336,45.2042,Villa Netibor
453,Jamshedpur,IN,80.82,overcast clouds,22.8,86.1833,Madhuban Motel
456,Wajir,KE,77.97,broken clouds,1.7471,40.0573,Al-bustan Hotel And Restaurant.
461,Hobyo,SO,82.0,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
473,Hami,CN,84.63,overcast clouds,42.8,93.45,Laoyutang Resort
474,Bayonet Point,US,82.4,scattered clouds,28.3267,-82.6834,Homewood Suites by Hilton Tampa-Port Richey
479,Victoria,HK,89.96,moderate rain,22.2855,114.1577,Mini Hotel Central
480,Bandar-E Lengeh,IR,92.91,clear sky,26.5579,54.8807,کافی نت پارس
483,Katsuura,JP,84.24,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
484,Nara,JP,80.91,moderate rain,34.6851,135.8049,Guesthouse Nara Komachi
493,Samarai,PG,82.29,scattered clouds,-10.6167,150.6667,Nuli Sapi
495,Hirara,JP,83.05,overcast clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
496,Riyadh,SA,93.34,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
498,Tutoia,BR,76.28,few clouds,-2.7619,-42.2744,Pousada Guará's
501,Jaque,PA,79.02,light rain,7.5175,-78.1703,Imbu Bua Lodge
502,Rawah,IQ,81.5,clear sky,34.4816,41.9093,ديوان الشيخ نامق محسن الراوي
503,Bontang,ID,84.31,light rain,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
504,Kusti,SD,93.36,broken clouds,13.1629,32.6635,فندق الكوباري - Kobari Hotel
512,Telhara,IN,94.1,broken clouds,21.0269,76.8389,Raj Pan Palace
513,Wang Saphung,TH,84.09,moderate rain,17.301,101.7685,โรงแรมวังรีสอร์ท
517,Sabha,LY,77.34,clear sky,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
519,Honiara,SB,83.48,few clouds,-9.4333,159.95,Heritage Park Hotel
521,Tabou,CI,76.51,light rain,4.423,-7.3528,hotêl doufoulougou
522,Road Town,VG,78.21,broken clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
523,Lorengau,PG,83.19,few clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
532,Taitung,TW,88.07,broken clouds,22.7583,121.1444,Taitung Bali Suites Hotel
538,Palauig,PH,86.09,overcast clouds,15.435,119.9045,Myhousebythesea
539,Nishihara,JP,87.46,broken clouds,26.1842,127.7558,Minshuku Agaihama
541,Harindanga,IN,89.58,overcast clouds,22.0383,88.3214,QARI ARIF BILLAH HOUSE. & THE INTERNATIONAL TAHFIZUL. QURAN MADRASAH MISSAIN
546,Puerto Colombia,CO,81.3,scattered clouds,10.9878,-74.9547,Hotel El Emigrante
547,Yueyang,CN,85.41,moderate rain,29.3333,113.0919,Delong Fortune Hotel
555,Xining,CN,77.88,clear sky,36.6167,101.7667,Super Leisure Hotel
556,Pokhara,NP,76.42,overcast clouds,28.2333,83.9833,Butterfly Lodge
560,Lovington,US,85.03,scattered clouds,32.944,-103.3485,Buena vida rv parks
561,Semirom,IR,81.14,clear sky,31.4167,51.5667,Motel Dena
564,Soe,ID,77.43,scattered clouds,-9.8607,124.284,Dena Hotel
567,Linxia,CN,81.25,few clouds,35.6003,103.2064,GreenTree Inn Linxia Autonomous Prefecture Linxia Oxford River Avenue Express Hotel
570,Soyo,AO,76.46,broken clouds,-6.1349,12.3689,Hotel Mpampa
577,Omuta,JP,85.17,overcast clouds,33.0333,130.45,Hotel New Gaea Omuta Garden
581,Sibolga,ID,86.74,heavy intensity rain,1.7427,98.7792,Hotel Syariah CN Darussalam
584,Port Hedland,AU,78.85,broken clouds,-20.3167,118.5667,The Esplanade Hotel
586,Jiuquan,CN,75.4,light rain,39.7432,98.5174,Jiuquan Hotel
587,Limbang,MY,89.71,overcast clouds,4.75,115.0,Purnama Hotel
590,Pathein,MM,79.99,overcast clouds,16.7833,94.7333,New Pammawaddy Hotel
591,Baghdad,IQ,87.71,clear sky,33.3406,44.4009,Baghdad Hotel
592,Virginia Beach,US,75.02,overcast clouds,36.8529,-75.978,Hilton Virginia Beach Oceanfront
593,Bagrami,AF,85.98,clear sky,34.4938,69.2743,SH++ZA
594,Hambantota,LK,89.94,scattered clouds,6.1241,81.1185,Bungalow 63
595,Igrim,RU,80.13,overcast clouds,63.1906,64.4162,Obshchezhitiye Uchebno-Proizvodstvennogo Tsentra
602,Kibala,TD,83.26,broken clouds,9.1104,18.3463,hotel safari
603,Lufilufi,WS,79.79,light rain,-13.8745,-171.5986,Leuaina Beach Resort and Spa
604,San Andres,CO,82.42,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
606,Marawi,PH,77.47,overcast clouds,7.9986,124.2928,Derogongan Residence
615,Manokwari,ID,82.87,heavy intensity rain,-0.8667,134.0833,Swiss Belhotel Manokwari
619,Lamu,KE,80.82,scattered clouds,-2.2717,40.902,Lamu House
622,Zabaykalsk,RU,83.01,broken clouds,49.6333,117.3167,Gostinitsa Zolotoy Drakon
623,Fare,PF,78.17,scattered clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
625,Davila,PH,85.3,overcast clouds,18.4726,120.5763,Blue Ridge Beach Resort
627,Cuiluan,CN,82.87,scattered clouds,47.72,128.648,Shuncheng Hotel
628,Baoqing,CN,79.14,clear sky,46.3317,132.2111,Baoqing Hotel
637,Tiarei,PF,77.02,overcast clouds,-17.5333,-149.3333,Le Rocher de Tahiti
639,Kiunga,PG,85.98,broken clouds,-6.1219,141.2906,Airport Lodge Kiunga
644,Mitsamiouli,KM,78.48,clear sky,-11.3847,43.2844,Foyer ADM
647,Champerico,GT,83.35,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
648,Shahreza,IR,88.43,clear sky,32.0339,51.8794,خوابگاه
650,Fort-Shevchenko,KZ,77.56,few clouds,44.5086,50.263,Oasis hotel Bautino
653,Labuhan,ID,88.86,few clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
654,Praia,CV,75.74,scattered clouds,14.9215,-23.5087,LT Aparthotel
659,Juba,SS,82.63,overcast clouds,4.8517,31.5825,ROYAL PALACE HOTEL - JUBA
661,Chabahar,IR,86.58,few clouds,25.2919,60.643,هتل گدروشیا
663,Semnan,IR,91.15,clear sky,35.5729,53.3971,Semnan Tourist Hotel
666,Adiake,CI,76.59,overcast clouds,5.2863,-3.304,Monhotel résidence Inn Adiake
668,Cartagena,CO,80.22,few clouds,10.3997,-75.5144,Hotel Colombia Real - Cartagena
669,Agdangan,PH,84.54,moderate rain,13.8725,121.9153,ISTOP OBER
672,Bathsheba,BB,79.41,scattered clouds,13.2167,-59.5167,Atlantis Hotel
